Student_ID,Department,Gender_Grade,Ethnicity_Grade,Grade,Marks,Pass_Status,Gender_Demo,Age,Ethnicity_Demo,Parent_Education,Course,Department_Exec,Attendance_Percent,Marks_Exec,Semester,Top_Performer,Student Name,Department_Perf500,Semester_Perf500,Attendance %,Internal Marks,External Marks,Total Marks,Grade_Perf500,Gender,Ethnicity,Parental Education,Test Preparation,Math Score,Reading Score,Writing Score,student_id,age,gender,course,year,parent_education,internet_access,hostel_resident,class_type,weather,Marks Range,Score Distribution
1,CSE,Male,Group D,B,71,Pass,Male,18,Group B,Master,CIVIL,CSE,93,48,8,No,Student_1,CSE,1,84,23,43,66,C,Female,Group A,Bachelor's Degree,Completed,60.05,81.49,46.89,200.99,17,male,pharmacy,1st year,high school,no,yes,offline,sunny,90 - 100,Excellent
2,MECH,Male,Group E,B,83,Pass,Male,25,Group E,Master,CSE,CSE,82,94,2,No,Student_2,MECH,6,95,38,36,74,B,Male,Group C,Bachelor's Degree,Completed,49.27,41.23,80.93,200.99,23,other,diploma,2nd year,high school,yes,yes,offline,cloudy,80 - 89,Very Good
3,MECH,Female,Group C,D,48,Fail,Male,25,Group E,Bachelor,CIVIL,CSE,69,71,2,No,Student_3,CSE,7,96,24,52,76,B,Male,Group B,Some High School,Completed,39.75,46.09,53.72,200.99,22,male,b.sc,3rd year,no formal,yes,yes,online,rainy,70 - 79,Good
4,CSE,Male,Group A,D,40,Fail,Male,21,Group D,Associate,CSE,EEE,92,60,1,No,Student_4,CIVIL,4,69,32,51,83,B,Male,Group A,High School,Completed,82.94,51.53,61.12,200.99,20,other,pharmacy,2nd year,no formal,yes,yes,offline,cloudy,60 - 69,Average
5,CIVIL,Female,Group D,B,75,Pass,Female,23,Group A,PhD,MECH,MECH,85,48,1,No,Student_5,MECH,7,78,33,43,76,B,Male,Group A,Some College,Completed,60.01,69.16,59.53,200.99,20,female,pharmacy,1st year,no formal,yes,yes,online,sunny,50 - 59,Below Average
6,ECE,Male,Group C,C,63,Pass,Female,24,Group A,High School,ECE,CSE,95,60,2,No,Student_6,MECH,8,100,34,54,88,A,Female,Group D,Some High School,Completed,48.17,60.14,87.55,200.99,23,male,b.tech,4th year,no formal,yes,yes,offline,hot,Below 50,Poor
7,MECH,Male,Group B,D,40,Fail,Female,18,Group C,PhD,EEE,MECH,75,83,8,No,Student_7,ECE,1,71,34,52,86,A,Male,Group E,High School,Completed,61.13,67.59,81.55,200.99,17,female,b.tech,1st year,phd,yes,no,offline,cloudy,,Excellent
8,EEE,Male,Group C,D,47,Fail,Male,17,Group C,PhD,ECE,MECH,61,76,6,No,Student_8,ECE,4,67,40,46,86,A,Female,Group B,Associate's Degree,Completed,36.33,42.46,49.67,200.99,22,male,b.com,1st year,no formal,yes,yes,online,sunny,,Very Good
9,CSE,Male,Group C,C,58,Pass,Male,20,Group B,Bachelor,EEE,CSE,76,49,2,No,Student_9,ECE,6,84,33,39,72,B,Female,Group C,Some High School,Completed,78.27,40.27,32.2,200.99,18,other,nursing,2nd year,high school,no,yes,offline,sunny,,Good
10,EEE,Male,Group B,B,82,Pass,Female,17,Group B,Bachelor,CIVIL,EEE,76,68,4,No,Student_10,CIVIL,7,68,37,60,97,A,Female,Group E,Master's Degree,Completed,83.56,62.54,74.38,200.99,17,male,bca,1st year,phd,yes,yes,online,cloudy,,Average
